,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread
115,0,5700,STARFRUIT,5031,25,,,,,5036,5,5038.0,25.0,,,5033.5,0.0,5
116,0,5800,STARFRUIT,5037,1,5031.0,24.0,,,5038,24,,,,,5037.5,0.0,1
119,0,5900,STARFRUIT,5034,5,5032.0,4.0,5031.0,21.0,5038,21,,,,,5036.0,0.0,4
121,0,6000,STARFRUIT,5031,24,,,,,5038,24,,,,,5034.5,0.0,7
123,0,6100,STARFRUIT,5031,25,,,,,5034,5,5037.0,1.0,5038.0,24.0,5032.5,0.0,3
124,0,6200,STARFRUIT,5031,30,,,,,5038,30,,,,,5034.5,0.0,7
127,0,6300,STARFRUIT,5030,25,,,,,5031,1,5037.0,25.0,,,5030.5,0.0,1
129,0,6400,STARFRUIT,5033,4,5030.0,23.0,,,5037,23,,,,,5035.0,0.0,4
131,0,6500,STARFRUIT,5034,3,5029.0,20.0,,,5036,20,,,,,5035.0,0.0,2
132,0,6600,STARFRUIT,5030,27,,,,,5036,1,5037.0,26.0,,,5033.0,0.0,6
135,0,6700,STARFRUIT,5030,7,5029.0,26.0,,,5036,28,,,,,5033.0,0.0,6
137,0,6800,STARFRUIT,5030,24,,,,,5037,24,,,,,5033.5,0.0,7
139,0,6900,STARFRUIT,5030,28,,,,,5035,4,5037.0,28.0,,,5032.5,0.0,5
140,0,7000,STARFRUIT,5032,6,5030.0,2.0,5029.0,27.0,5036,29,,,,,5034.0,0.0,4
143,0,7100,STARFRUIT,5030,1,5029.0,29.0,,,5036,30,,,,,5033.0,0.0,6
145,0,7200,STARFRUIT,5030,23,,,,,5036,2,5037.0,21.0,,,5033.0,0.0,6
147,0,7300,STARFRUIT,5030,25,,,,,5036,2,5037.0,23.0,,,5033.0,0.0,6
148,0,7400,STARFRUIT,5030,30,,,,,5035,6,5036.0,2.0,5037.0,28.0,5032.5,0.0,5
151,0,7500,STARFRUIT,5030,29,,,,,5037,29,,,,,5033.5,0.0,7
153,0,7600,STARFRUIT,5031,26,,,,,5038,26,,,,,5034.5,0.0,7
154,0,7700,STARFRUIT,5030,28,,,,,5035,5,5037.0,28.0,,,5032.5,0.0,5
157,0,7800,STARFRUIT,5036,1,5030.0,23.0,,,5037,23,,,,,5036.5,0.0,1
159,0,7900,STARFRUIT,5035,1,5030.0,26.0,,,5037,26,,,,,5036.0,0.0,2
161,0,8000,STARFRUIT,5031,6,5030.0,22.0,,,5037,23,,,,,5034.0,0.0,6
162,0,8100,STARFRUIT,5031,5,5030.0,22.0,,,5037,22,,,,,5034.0,0.0,6
165,0,8200,STARFRUIT,5030,20,,,,,5035,8,5037.0,20.0,,,5032.5,0.0,5
167,0,8300,STARFRUIT,5031,1,5030.0,26.0,,,5037,27,,,,,5034.0,0.0,6
169,0,8400,STARFRUIT,5032,8,5031.0,26.0,,,5038,26,,,,,5035.0,0.0,6
170,0,8500,STARFRUIT,5031,30,,,,,5038,30,,,,,5034.5,0.0,7
173,0,8600,STARFRUIT,5031,23,,,,,5036,4,5037.0,1.0,5038.0,22.0,5033.5,0.0,5
175,0,8700,STARFRUIT,5030,30,,,,,5035,6,5037.0,30.0,,,5032.5,0.0,5
177,0,8800,STARFRUIT,5031,1,5030.0,23.0,,,5037,23,,,,,5034.0,0.0,6
178,0,8900,STARFRUIT,5030,27,,,,,5037,27,,,,,5033.5,0.0,7
181,0,9000,STARFRUIT,5030,23,,,,,5037,23,,,,,5033.5,0.0,7
183,0,9100,STARFRUIT,5030,1,5029.0,30.0,,,5036,31,,,,,5033.0,0.0,6
185,0,9200,STARFRUIT,5029,24,,,,,5034,7,5036.0,24.0,,,5031.5,0.0,5
186,0,9300,STARFRUIT,5034,4,5030.0,5.0,5029.0,23.0,5036,23,,,,,5035.0,0.0,2
189,0,9400,STARFRUIT,5030,24,,,,,5036,2,5037.0,22.0,,,5033.0,0.0,6
191,0,9500,STARFRUIT,5030,1,5029.0,28.0,,,5034,4,5036.0,29.0,,,5032.0,0.0,4
193,0,9600,STARFRUIT,5029,20,,,,,5030,6,5036.0,20.0,,,5029.5,0.0,1
194,0,9700,STARFRUIT,5029,25,,,,,5036,25,,,,,5032.5,0.0,7
197,0,9800,STARFRUIT,5029,21,,,,,5036,21,,,,,5032.5,0.0,7
199,0,9900,STARFRUIT,5029,22,,,,,5036,22,,,,,5032.5,0.0,7
201,0,10000,STARFRUIT,5029,31,,,,,5036,31,,,,,5032.5,0.0,7
202,0,10100,STARFRUIT,5033,4,5028.0,22.0,,,5035,22,,,,,5034.0,0.0,2
205,0,10200,STARFRUIT,5028,25,,,,,5035,25,,,,,5031.5,0.0,7
207,0,10300,STARFRUIT,5029,22,,,,,5035,2,5036.0,20.0,,,5032.0,0.0,6
209,0,10400,STARFRUIT,5029,30,,,,,5034,5,5036.0,30.0,,,5031.5,0.0,5
210,0,10500,STARFRUIT,5030,1,5029.0,27.0,,,5036,1,5037.0,27.0,,,5033.0,0.0,6
213,0,10600,STARFRUIT,5029,23,,,,,5034,3,5036.0,23.0,,,5031.5,0.0,5
215,0,10700,STARFRUIT,5029,23,,,,,5036,23,,,,,5032.5,0.0,7
217,0,10800,STARFRUIT,5029,22,,,,,5036,23,,,,,5032.5,0.0,7
218,0,10900,STARFRUIT,5029,1,5028.0,29.0,,,5035,30,,,,,5032.0,0.0,6
221,0,11000,STARFRUIT,5028,30,,,,,5035,30,,,,,5031.5,0.0,7
223,0,11100,STARFRUIT,5028,31,,,,,5034,2,5035.0,29.0,,,5031.0,0.0,6
225,0,11200,STARFRUIT,5028,1,5027.0,28.0,,,5034,29,,,,,5031.0,0.0,6
226,0,11300,STARFRUIT,5027,27,,,,,5034,27,,,,,5030.5,0.0,7
229,0,11400,STARFRUIT,5027,24,,,,,5034,24,,,,,5030.5,0.0,7
231,0,11500,STARFRUIT,5028,7,5027.0,29.0,,,5034,29,,,,,5031.0,0.0,6
233,0,11600,STARFRUIT,5027,26,,,,,5032,6,5034.0,26.0,,,5029.5,0.0,5
234,0,11700,STARFRUIT,5027,1,5026.0,21.0,,,5033,22,,,,,5030.0,0.0,6
237,0,11800,STARFRUIT,5026,21,,,,,5033,21,,,,,5029.5,0.0,7
239,0,11900,STARFRUIT,5025,25,,,,,5032,25,,,,,5028.5,0.0,7
240,0,12000,STARFRUIT,5025,25,,,,,5032,25,,,,,5028.5,0.0,7
242,0,12100,STARFRUIT,5026,2,5025.0,20.0,,,5032,22,,,,,5029.0,0.0,6
244,0,12200,STARFRUIT,5025,28,,,,,5032,28,,,,,5028.5,0.0,7
247,0,12300,STARFRUIT,5026,5,5025.0,23.0,,,5028,6,5032.0,24.0,,,5027.0,0.0,2
248,0,12400,STARFRUIT,5026,30,,,,,5032,1,5033.0,29.0,,,5029.0,0.0,6
250,0,12500,STARFRUIT,5026,31,,,,,5031,8,5033.0,31.0,,,5028.5,0.0,5
252,0,12600,STARFRUIT,5026,31,,,,,5033,31,,,,,5029.5,0.0,7
255,0,12700,STARFRUIT,5027,31,,,,,5034,31,,,,,5030.5,0.0,7
256,0,12800,STARFRUIT,5027,31,,,,,5032,3,5034.0,31.0,,,5029.5,0.0,5
258,0,12900,STARFRUIT,5027,24,,,,,5032,4,5034.0,24.0,,,5029.5,0.0,5
260,0,13000,STARFRUIT,5027,27,,,,,5034,27,,,,,5030.5,0.0,7
263,0,13100,STARFRUIT,5032,2,5029.0,7.0,5028.0,30.0,5034,2,5035.0,28.0,,,5033.0,0.0,2
264,0,13200,STARFRUIT,5028,28,,,,,5033,3,5035.0,28.0,,,5030.5,0.0,5
266,0,13300,STARFRUIT,5028,28,,,,,5033,6,5035.0,28.0,,,5030.5,0.0,5
268,0,13400,STARFRUIT,5029,8,5028.0,26.0,,,5035,26,,,,,5032.0,0.0,6
271,0,13500,STARFRUIT,5029,5,5028.0,30.0,,,5035,30,,,,,5032.0,0.0,6
272,0,13600,STARFRUIT,5033,5,5028.0,25.0,,,5035,25,,,,,5034.0,0.0,2
274,0,13700,STARFRUIT,5031,3,5029.0,2.0,5028.0,28.0,5035,30,,,,,5033.0,0.0,4
276,0,13800,STARFRUIT,5029,1,5028.0,24.0,,,5035,25,,,,,5032.0,0.0,6
279,0,13900,STARFRUIT,5029,20,,,,,5036,20,,,,,5032.5,0.0,7
280,0,14000,STARFRUIT,5035,1,5030.0,1.0,5029.0,26.0,5036,27,,,,,5035.5,0.0,1
282,0,14100,STARFRUIT,5032,3,5029.0,24.0,,,5036,24,,,,,5034.0,0.0,4
284,0,14200,STARFRUIT,5029,24,,,,,5036,24,,,,,5032.5,0.0,7
287,0,14300,STARFRUIT,5029,1,5028.0,28.0,,,5035,30,,,,,5032.0,0.0,6
288,0,14400,STARFRUIT,5029,23,,,,,5034,4,5036.0,23.0,,,5031.5,0.0,5
291,0,14500,STARFRUIT,5029,22,,,,,5032,2,5034.0,1.0,5036.0,23.0,5030.5,0.0,3
293,0,14600,STARFRUIT,5028,21,,,,,5036,21,,,,,5032.0,0.0,8
295,0,14700,STARFRUIT,5029,26,,,,,5035,2,5036.0,24.0,,,5032.0,0.0,6
296,0,14800,STARFRUIT,5029,1,5028.0,21.0,,,5033,5,5035.0,23.0,,,5031.0,0.0,4
299,0,14900,STARFRUIT,5028,30,,,,,5035,30,,,,,5031.5,0.0,7
301,0,15000,STARFRUIT,5028,22,,,,,5035,23,,,,,5031.5,0.0,7
303,0,15100,STARFRUIT,5033,1,5028.0,26.0,,,5035,26,,,,,5034.0,0.0,2
304,0,15200,STARFRUIT,5029,1,5028.0,25.0,,,5031,4,5035.0,25.0,,,5030.0,0.0,2
307,0,15300,STARFRUIT,5028,6,5027.0,22.0,,,5034,2,5035.0,22.0,,,5031.0,0.0,6
309,0,15400,STARFRUIT,5028,2,5027.0,24.0,,,5032,3,5034.0,26.0,,,5030.0,0.0,4
311,0,15500,STARFRUIT,5028,20,,,,,5033,5,5035.0,20.0,,,5030.5,0.0,5
312,0,15600,STARFRUIT,5029,8,5028.0,24.0,,,5034,1,5035.0,23.0,,,5031.5,0.0,5
315,0,15700,STARFRUIT,5028,22,,,,,5034,2,5035.0,20.0,,,5031.0,0.0,6
317,0,15800,STARFRUIT,5028,26,,,,,5033,3,5035.0,26.0,,,5030.5,0.0,5
319,0,15900,STARFRUIT,5028,27,,,,,5035,27,,,,,5031.5,0.0,7
320,0,16000,STARFRUIT,5030,8,5029.0,27.0,,,5036,27,,,,,5033.0,0.0,6
323,0,16100,STARFRUIT,5029,29,,,,,5036,29,,,,,5032.5,0.0,7
325,0,16200,STARFRUIT,5033,4,5029.0,21.0,,,5034,3,5036.0,21.0,,,5033.5,0.0,1
327,0,16300,STARFRUIT,5029,31,,,,,5034,2,5036.0,31.0,,,5031.5,0.0,5
329,0,16400,STARFRUIT,5028,24,,,,,5030,4,5035.0,24.0,,,5029.0,0.0,2
331,0,16500,STARFRUIT,5028,27,,,,,5033,6,5034.0,2.0,5035.0,25.0,5030.5,0.0,5
333,0,16600,STARFRUIT,5028,25,,,,,5034,2,5035.0,23.0,,,5031.0,0.0,6
334,0,16700,STARFRUIT,5028,23,,,,,5035,24,,,,,5031.5,0.0,7
337,0,16800,STARFRUIT,5028,32,,,,,5035,32,,,,,5031.5,0.0,7
339,0,16900,STARFRUIT,5029,6,5028.0,24.0,,,5035,24,,,,,5032.0,0.0,6
341,0,17000,STARFRUIT,5028,23,,,,,5035,23,,,,,5031.5,0.0,7
342,0,17100,STARFRUIT,5027,30,,,,,5034,31,,,,,5030.5,0.0,7
345,0,17200,STARFRUIT,5027,26,,,,,5034,26,,,,,5030.5,0.0,7
347,0,17300,STARFRUIT,5026,28,,,,,5031,2,5033.0,28.0,,,5028.5,0.0,5
349,0,17400,STARFRUIT,5026,5,5025.0,24.0,,,5032,25,,,,,5029.0,0.0,6
350,0,17500,STARFRUIT,5026,24,,,,,5033,24,,,,,5029.5,0.0,7
353,0,17600,STARFRUIT,5026,27,,,,,5033,27,,,,,5029.5,0.0,7
355,0,17700,STARFRUIT,5026,24,,,,,5033,24,,,,,5029.5,0.0,7
357,0,17800,STARFRUIT,5026,23,,,,,5033,23,,,,,5029.5,0.0,7
358,0,17900,STARFRUIT,5026,30,,,,,5033,30,,,,,5029.5,0.0,7
361,0,18000,STARFRUIT,5030,5,5026.0,28.0,,,5033,28,,,,,5031.5,0.0,3
363,0,18100,STARFRUIT,5026,21,,,,,5033,21,,,,,5029.5,0.0,7
365,0,18200,STARFRUIT,5032,1,5028.0,1.0,5027.0,24.0,5033,1,5034.0,23.0,,,5032.5,0.0,1
366,0,18300,STARFRUIT,5028,2,5027.0,29.0,,,5033,2,5034.0,27.0,,,5030.5,0.0,5
369,0,18400,STARFRUIT,5027,30,,,,,5032,3,5033.0,1.0,5034.0,29.0,5029.5,0.0,5
371,0,18500,STARFRUIT,5027,32,,,,,5034,32,,,,,5030.5,0.0,7
373,0,18600,STARFRUIT,5028,31,,,,,5033,7,5035.0,31.0,,,5030.5,0.0,5
374,0,18700,STARFRUIT,5029,2,5028.0,25.0,,,5033,3,5035.0,27.0,,,5031.0,0.0,4
377,0,18800,STARFRUIT,5028,24,,,,,5033,8,5035.0,24.0,,,5030.5,0.0,5
379,0,18900,STARFRUIT,5030,4,5029.0,28.0,,,5036,28,,,,,5033.0,0.0,6
381,0,19000,STARFRUIT,5034,5,5029.0,25.0,,,5036,25,,,,,5035.0,0.0,2
382,0,19100,STARFRUIT,5030,1,5029.0,28.0,,,5032,5,5034.0,7.0,5036.0,29.0,5031.0,0.0,2
385,0,19200,STARFRUIT,5030,29,,,,,5037,29,,,,,5033.5,0.0,7
387,0,19300,STARFRUIT,5032,5,5031.0,30.0,,,5038,32,,,,,5035.0,0.0,6
389,0,19400,STARFRUIT,5033,4,5032.0,21.0,,,5038,1,5039.0,20.0,,,5035.5,0.0,5
390,0,19500,STARFRUIT,5032,3,5031.0,20.0,,,5038,22,,,,,5035.0,0.0,6
393,0,19600,STARFRUIT,5032,31,,,,,5038,2,5039.0,29.0,,,5035.0,0.0,6
395,0,19700,STARFRUIT,5032,25,,,,,5039,25,,,,,5035.5,0.0,7
397,0,19800,STARFRUIT,5032,20,,,,,5039,20,,,,,5035.5,0.0,7
398,0,19900,STARFRUIT,5033,1,5032.0,27.0,,,5039,28,,,,,5036.0,0.0,6
401,0,20000,STARFRUIT,5032,29,,,,,5039,29,,,,,5035.5,0.0,7
403,0,20100,STARFRUIT,5033,31,,,,,5039,2,5040.0,29.0,,,5036.0,0.0,6
405,0,20200,STARFRUIT,5032,29,,,,,5039,29,,,,,5035.5,0.0,7
406,0,20300,STARFRUIT,5033,2,5032.0,21.0,,,5039,23,,,,,5036.0,0.0,6
409,0,20400,STARFRUIT,5032,24,,,,,5039,24,,,,,5035.5,0.0,7
411,0,20500,STARFRUIT,5037,10,5032.0,30.0,,,5039,30,,,,,5038.0,0.0,2
413,0,20600,STARFRUIT,5033,23,,,,,5040,23,,,,,5036.5,0.0,7
414,0,20700,STARFRUIT,5034,1,5033.0,30.0,,,5040,1,5041.0,30.0,,,5037.0,0.0,6
417,0,20800,STARFRUIT,5039,1,5034.0,25.0,,,5040,2,5041.0,23.0,,,5039.5,0.0,1
419,0,20900,STARFRUIT,5034,24,,,,,5041,24,,,,,5037.5,0.0,7
420,0,21000,STARFRUIT,5034,27,,,,,5041,27,,,,,5037.5,0.0,7
422,0,21100,STARFRUIT,5034,30,,,,,5041,30,,,,,5037.5,0.0,7
424,0,21200,STARFRUIT,5034,23,,,,,5041,23,,,,,5037.5,0.0,7
427,0,21300,STARFRUIT,5034,29,,,,,5035,1,5040.0,5.0,5042.0,29.0,5034.5,0.0,1
428,0,21400,STARFRUIT,5034,30,,,,,5041,30,,,,,5037.5,0.0,7
430,0,21500,STARFRUIT,5035,2,5034.0,22.0,,,5039,5,5041.0,24.0,,,5037.0,0.0,4
432,0,21600,STARFRUIT,5035,28,,,,,5042,29,,,,,5038.5,0.0,7
435,0,21700,STARFRUIT,5035,1,5034.0,30.0,,,5041,1,5042.0,30.0,,,5038.0,0.0,6
436,0,21800,STARFRUIT,5035,29,,,,,5036,1,5042.0,29.0,,,5035.5,0.0,1
438,0,21900,STARFRUIT,5036,1,5035.0,30.0,,,5042,30,,,,,5039.0,0.0,6
440,0,22000,STARFRUIT,5036,4,5035.0,24.0,,,5038,2,5042.0,24.0,,,5037.0,0.0,2
443,0,22100,STARFRUIT,5035,24,,,,,5042,25,,,,,5038.5,0.0,7
444,0,22200,STARFRUIT,5036,1,5035.0,27.0,,,5040,6,5042.0,28.0,,,5038.0,0.0,4
446,0,22300,STARFRUIT,5036,30,,,,,5043,30,,,,,5039.5,0.0,7
448,0,22400,STARFRUIT,5036,26,,,,,5043,26,,,,,5039.5,0.0,7
451,0,22500,STARFRUIT,5036,27,,,,,5043,27,,,,,5039.5,0.0,7
452,0,22600,STARFRUIT,5036,27,,,,,5043,27,,,,,5039.5,0.0,7
454,0,22700,STARFRUIT,5036,28,,,,,5043,28,,,,,5039.5,0.0,7
456,0,22800,STARFRUIT,5036,30,,,,,5043,30,,,,,5039.5,0.0,7
459,0,22900,STARFRUIT,5036,26,,,,,5043,26,,,,,5039.5,0.0,7
460,0,23000,STARFRUIT,5037,2,5036.0,24.0,,,5043,26,,,,,5040.0,0.0,6
462,0,23100,STARFRUIT,5037,24,,,,,5043,1,5044.0,23.0,,,5040.0,0.0,6
465,0,23200,STARFRUIT,5036,26,,,,,5043,26,,,,,5039.5,0.0,7
467,0,23300,STARFRUIT,5036,22,,,,,5041,1,5044.0,22.0,,,5038.5,0.0,5
468,0,23400,STARFRUIT,5036,21,,,,,5044,21,,,,,5040.0,0.0,8
471,0,23500,STARFRUIT,5037,28,,,,,5044,28,,,,,5040.5,0.0,7
473,0,23600,STARFRUIT,5036,21,,,,,5041,2,5043.0,21.0,,,5038.5,0.0,5
475,0,23700,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,0.0,7
476,0,23800,STARFRUIT,5037,23,,,,,5043,2,5044.0,21.0,,,5040.0,0.0,6
479,0,23900,STARFRUIT,5042,1,5037.0,20.0,,,5044,20,,,,,5043.0,0.0,2
481,0,24000,STARFRUIT,5037,23,,,,,5044,23,,,,,5040.5,0.0,7
483,0,24100,STARFRUIT,5037,26,,,,,5042,5,5044.0,26.0,,,5039.5,0.0,5
484,0,24200,STARFRUIT,5043,1,5038.0,27.0,,,5044,2,5045.0,25.0,,,5043.5,0.0,1
487,0,24300,STARFRUIT,5038,23,,,,,5044,2,5045.0,21.0,,,5041.0,0.0,6
489,0,24400,STARFRUIT,5037,25,,,,,5044,25,,,,,5040.5,0.0,7
491,0,24500,STARFRUIT,5038,2,5037.0,21.0,,,5044,21,,,,,5041.0,0.0,6
492,0,24600,STARFRUIT,5038,1,5037.0,26.0,,,5044,27,,,,,5041.0,0.0,6
495,0,24700,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,0.0,7
497,0,24800,STARFRUIT,5037,28,,,,,5044,28,,,,,5040.5,0.0,7
499,0,24900,STARFRUIT,5037,30,,,,,5042,1,5044.0,30.0,,,5039.5,0.0,5
500,0,25000,STARFRUIT,5038,8,5037.0,27.0,,,5043,1,5044.0,26.0,,,5040.5,0.0,5
503,0,25100,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0,7
505,0,25200,STARFRUIT,5036,26,,,,,5037,1,5043.0,26.0,,,5036.5,0.0,1
506,0,25300,STARFRUIT,5036,26,,,,,5042,2,5043.0,24.0,,,5039.0,0.0,6
509,0,25400,STARFRUIT,5035,32,,,,,5042,32,,,,,5038.5,0.0,7
511,0,25500,STARFRUIT,5036,2,5035.0,23.0,,,5040,1,5042.0,25.0,,,5038.0,0.0,4
513,0,25600,STARFRUIT,5041,1,5035.0,31.0,,,5042,31,,,,,5041.5,0.0,1
514,0,25700,STARFRUIT,5036,1,5035.0,22.0,,,5041,4,5042.0,1.0,5043.0,22.0,5038.5,0.0,5
517,0,25800,STARFRUIT,5041,2,5037.0,28.0,,,5043,1,5044.0,27.0,,,5042.0,0.0,2
519,0,25900,STARFRUIT,5037,28,,,,,5042,3,5044.0,28.0,,,5039.5,0.0,5
521,0,26000,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,0.0,7
522,0,26100,STARFRUIT,5037,25,,,,,5044,25,,,,,5040.5,0.0,7
525,0,26200,STARFRUIT,5037,26,,,,,5043,1,5044.0,25.0,,,5040.0,0.0,6
527,0,26300,STARFRUIT,5038,2,5037.0,24.0,,,5044,24,,,,,5041.0,0.0,6
529,0,26400,STARFRUIT,5037,29,,,,,5038,1,5044.0,29.0,,,5037.5,0.0,1
530,0,26500,STARFRUIT,5043,1,5039.0,2.0,5038.0,24.0,5044,1,5045.0,23.0,,,5043.5,0.0,1
533,0,26600,STARFRUIT,5037,22,,,,,5044,22,,,,,5040.5,0.0,7
535,0,26700,STARFRUIT,5037,24,,,,,5040,4,5044.0,24.0,,,5038.5,0.0,3
537,0,26800,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,0.0,7
538,0,26900,STARFRUIT,5037,27,,,,,5044,27,,,,,5040.5,0.0,7
541,0,27000,STARFRUIT,5037,31,,,,,5044,31,,,,,5040.5,0.0,7
543,0,27100,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,0.0,7
545,0,27200,STARFRUIT,5037,31,,,,,5043,2,5044.0,29.0,,,5040.0,0.0,6
546,0,27300,STARFRUIT,5040,5,5038.0,8.0,5037.0,25.0,5044,27,,,,,5042.0,0.0,4
549,0,27400,STARFRUIT,5039,3,5038.0,24.0,,,5040,5,5045.0,25.0,,,5039.5,0.0,1
551,0,27500,STARFRUIT,5038,26,,,,,5045,26,,,,,5041.5,0.0,7
